Date;Global_active_power
2006-12-16;1209.1760000000006
2006-12-17;3390.46
2006-12-18;2203.8259999999964
2006-12-19;1666.1940000000006
2006-12-20;2225.747999999999
2006-12-21;1717.1139999999994
2006-12-22;2341.3379999999993
2006-12-23;4773.385999999998
2006-12-24;2550.012000000007
2006-12-25;2743.1200000000053
2006-12-26;3934.11
2006-12-27;1528.7600000000004
2006-12-28;2072.638
2006-12-29;3174.3919999999966
2006-12-30;2802.336000000001
2006-12-31;3494.1959999999995
2007-01-01;2749.004000000016
2007-01-02;1824.7599999999998
2007-01-03;517.5640000000016
2007-01-04;2785.952000000006
2007-01-05;1663.8579999999988
2007-01-06;1045.3699999999988
2007-01-07;1026.6639999999995
2007-01-08;1084.1730000000057
2007-01-09;1701.4859999999994
2007-01-10;1720.9219999999993
2007-01-11;496.21600000000046
2007-01-12;3134.942000000002
2007-01-13;3186.813999999998
2007-01-14;3011.028999999998
2007-01-15;2148.677999999998
2007-01-16;1686.4039999999998
2007-01-17;2847.687999999999
2007-01-18;1821.4620000000011
2007-01-19;1480.4400000000028
2007-01-20;3133.7319999999963
2007-01-21;3407.261999999998
2007-01-22;2180.494
2007-01-23;1777.6400000000003
2007-01-24;2987.853999999998
2007-01-25;1596.3439999999975
2007-01-26;1617.9719999999982
2007-01-27;2044.0720000000008
2007-01-28;3092.424999999989
2007-01-29;1982.6640000000002
2007-01-30;1707.7979999999984
2007-01-31;2363.7520000000013
2007-02-01;1269.2360000000006
2007-02-02;1667.7359999999976
2007-02-03;515.6880000000006
2007-02-04;1960.7780000000037
2007-02-05;1003.4860000000007
2007-02-06;1484.361999999998
2007-02-07;967.0319999999984
2007-02-08;1019.4159999999983
2007-02-09;1662.467999999999
2007-02-10;2198.8639999999923
2007-02-11;1443.601999999999
2007-02-12;2946.1879999999965
2007-02-13;1414.5460000000003
2007-02-14;2498.6719999999964
2007-02-15;1985.3459999999977
2007-02-16;1702.5279999999975
2007-02-17;2076.9120000000025
2007-02-18;3829.762000000007
2007-02-19;2186.6139999999978
2007-02-20;3149.928000000004
2007-02-21;2072.8740000000025
2007-02-22;3377.4199999999955
2007-02-23;1313.4800000000025
2007-02-24;714.9220000000016
2007-02-25;501.74000000000103
2007-02-26;568.484
2007-02-27;518.1119999999974
2007-02-28;520.774000000001
2007-03-01;1014.0540000000005
2007-03-02;4029.721999999996
2007-03-03;819.1220000000008
2007-03-04;1642.819999999997
2007-03-05;1090.2379999999994
2007-03-06;2108.0259999999994
2007-03-07;1059.9119999999991
2007-03-08;1063.364000000001
2007-03-09;1038.9219999999996
2007-03-10;1280.453999999998
2007-03-11;492.5499999999992
2007-03-12;1762.06
2007-03-13;1290.1440000000034
2007-03-14;1793.3639999999998
2007-03-15;1884.8140000000012
2007-03-16;1702.053999999999
2007-03-17;2028.090000000002
2007-03-18;2371.045999999996
2007-03-19;2152.5179999999987
2007-03-20;2086.2279999999996
2007-03-21;2142.0920000000006
2007-03-22;1454.9779999999998
2007-03-23;1309.008
2007-03-24;2968.430000000003
2007-03-25;3336.6530000000016
2007-03-26;1416.0819999999994
2007-03-27;1105.1399999999999
2007-03-28;2333.8980000000015
2007-03-29;1590.405999999999
2007-03-30;1402.3939999999977
2007-03-31;3509.510000000001
2007-04-01;3259.4119999999907
2007-04-02;3595.9400000000023
2007-04-03;2090.700000000001
2007-04-04;2051.867999999997
2007-04-05;998.1280000000025
2007-04-06;911.6179999999988
2007-04-07;1003.4100000000022
2007-04-08;1144.9899999999977
2007-04-09;1584.9440000000009
2007-04-10;1518.457999999999
2007-04-11;1485.685999999998
2007-04-12;2067.6360000000022
2007-04-13;551.0220000000013
2007-04-14;554.2680000000017
2007-04-15;726.1640000000002
2007-04-16;952.3899999999998
2007-04-17;1223.7340000000017
2007-04-18;998.2460000000003
2007-04-19;1028.6580000000035
2007-04-20;822.5799999999997
2007-04-21;1673.655999999998
2007-04-22;2233.714000000001
2007-04-23;1054.5659999999993
2007-04-24;1032.0999999999995
2007-04-25;1264.1619999999994
2007-04-26;1275.4660000000006
2007-04-27;1094.3319999999985
2007-04-28;650.5456670247048
